file	probe_count	reason	operator_decision
tests/test_st_time_based_search.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.12_GoogleDriveOauthHelper/test_w28c_1702_fm6_anon_gate.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.31_JobsRuntime/test_lifecycle_simulation.py	4	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.16_Observability/test_observability.py	3	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.33_W28C1702/test_w28c_1702_forensic_fixes.py	14	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.28_RemoteEnvHelpers/test_remote_env_helpers.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.2_Audit/test_audit.py	4	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.36_ParamAliasFallback/test_param_alias_fallback.py	5	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT_AuditLogFormat/test_audit_log_format.py	4	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.3_Auth/test_auth.py	12	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.29_DatabaseAbstraction/test_database_abstraction.py	3	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.1_ApiKitContract/test_api_kit_contract.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.26_WebdavStorage/test_webdav_storage.py	5	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
