test_file	pre_sha256	post_sha256	changed
tests/test_st_time_based_search.py	051ab5126e67	051ab5126e67	N
tests/unit/UT1.24_ToolsRegistry/test_tools_registry.py	dda98c73c3fd	66a4db2c22d5	Y
tests/unit/UT1.10_Filesystem/test_filesystem.py	8776a0b7d5ff	ad503635753c	Y
tests/unit/UT1.13_GoogleDriveSetupScript/test_google_drive_setup_script.py	e01c17f0b0ed	e588d296e354	Y
tests/unit/UT1.35_FlatRoleLogin/test_flat_role_login.py	8f599acf1550	11772ba49a73	Y
tests/unit/UT1.12_GoogleDriveOauthHelper/test_w28c_1702_fm6_anon_gate.py	c482e1cae951	c482e1cae951	N
tests/unit/UT1.12_GoogleDriveOauthHelper/test_google_drive_oauth_helper.py	27158277c5ae	a0ba1619dd7a	Y
tests/unit/UT1.31_JobsRuntime/test_jobs_runtime.py	2f0dffabf453	6777401915c0	Y
tests/unit/UT1.31_JobsRuntime/test_lifecycle_simulation.py	b203a6e8c2f2	b203a6e8c2f2	N
tests/unit/UT1.17_Posix/test_posix.py	6e549c77022b	fb94fc296970	Y
tests/unit/UT1.8_Encoding/test_encoding.py	bdb0df1adf11	62c5de595eb5	Y
tests/unit/UT1.16_Observability/test_observability.py	bf897b9daa06	bf897b9daa06	N
tests/unit/UT1.5_Convert/test_convert.py	eba9d3e745b2	e91e4662f4af	Y
tests/unit/UT1.25_Validate/test_validate.py	cfef735fb32d	6681cc4ac16f	Y
tests/unit/UT1.33_W28C1702/test_w28c_1702_forensic_fixes.py	15a303cadff5	15a303cadff5	N
tests/unit/UT1.28_RemoteEnvHelpers/test_remote_env_helpers.py	d02175cca53d	d02175cca53d	N
tests/unit/UT1.20_Sedlike/test_sedlike.py	4f33f88470af	c8150acfaab2	Y
tests/unit/UT1.2_Audit/test_audit.py	242fb6b1bab7	242fb6b1bab7	N
tests/unit/UT1.36_ParamAliasFallback/test_param_alias_fallback.py	de17aeacf933	de17aeacf933	N
tests/unit/UT_CFG06_A2AEvents/test_config_change_events.py	52da0ee0d89f	7b8e3a76043e	Y
tests/unit/UT_AuditLogFormat/test_audit_log_format.py	0e5c7d217d4c	0e5c7d217d4c	N
tests/unit/UT1.9_EndpointHealth/test_endpoint_health.py	ecb7752a8662	2c458ad54ea2	Y
tests/unit/UT1.14_GoogleDriveStorage/test_google_drive_storage.py	a9cd3a04affc	fa19e1545e28	Y
tests/unit/UT1.3_Auth/test_auth.py	a173c50482fc	a173c50482fc	N
tests/unit/UT1.30_AdminIdentity/test_admin_identity.py	82749da45f87	4746bf23c049	Y
tests/unit/UT1.6_Diff/test_diff.py	b609770e3b38	8c44aed418b0	Y
tests/unit/UT1.23_ToolReuse/test_tool_reuse.py	8891ec73493f	79f426ffae98	Y
tests/unit/UT1.29_DatabaseAbstraction/test_database_abstraction.py	80d1e641a6f3	80d1e641a6f3	N
tests/unit/UT1.1_ApiKitContract/test_api_kit_contract.py	65829c466b0a	65829c466b0a	N
tests/unit/UT1.19_Search/test_search.py	7e350718f3b5	eb6603b9aaef	Y
tests/unit/UT1.26_WebdavStorage/test_webdav_storage.py	acfa9280c4c5	acfa9280c4c5	N
tests/unit/UT1.11_GoogleDriveAdmin/test_google_drive_admin.py	e7667da0a5a9	2308d6e8f1d8	Y
tests/unit/UT1.22_ServerRuntime/test_server_runtime.py	feb0d24c4490	feb0d24c4490	N
tests/unit/UT1.18_ScopePolicy/test_scope_policy.py	a270572e4dd2	a270572e4dd2	N
tests/unit/UT1.21_ServerDispatch/test_server_dispatch.py	5e1e80ee7862	5e1e80ee7862	N
tests/unit/UT1.7_EditStructured/test_edit_structured.py	756c2d128b0b	99409ad0bd59	Y
tests/unit/UT1.4_ConfigLoader/test_config_loader.py	d2a9c03b671b	6af7befa02c8	Y
tests/unit/UT1.15_Lifecycle/test_lifecycle.py	503363a4e596	503363a4e596	N
tests/unit/UT1.27_RemoteStoragePlaceholderValidation/test_remote_storage_placeholder_validation.py	beb999cec062	beb999cec062	N
tests/application/AT1.2_ApplicationConversionEditWorkflow/test_application_conversion_edit_workflow.py	2ce6ec5db5c7	2ce6ec5db5c7	N
tests/application/AT1.7_ApplicationSafeEditWorkflow/test_application_safe_edit_workflow.py	754d7d24f740	754d7d24f740	N
tests/application/AT1.4_ApplicationLifecycleWorkflow/test_application_lifecycle_workflow.py	3f9a5e24fe92	3f9a5e24fe92	N
tests/application/AT1.13_ApplicationWebUiAdmin/test_application_webui_admin.py	9b1aaaa652f4	fe7e14f2d78f	Y
tests/application/AT1.1_ApplicationCompoundReleaseWorkflow/test_application_compound_release_workflow.py	b47143d7e960	b47143d7e960	N
tests/application/AT1.9_ApplicationSecurityBoundary/test_application_security_boundary.py	84af878d397f	84af878d397f	N
tests/application/AT1.12_GoogleDriveOauthLive/test_google_drive_oauth_live.py	aaa973a6f976	223d7eed1294	Y
tests/application/AT1.6_ApplicationPreprodProfileChainHttp/test_application_preprod_profile_chain_http.py	50953996dba3	50953996dba3	N
tests/application/AT1.8_ApplicationSearchEditAuditWorkflow/test_application_search_edit_audit_workflow.py	1402bd9f90d0	1402bd9f90d0	N
tests/application/AT1.11_DynamicProfileCRUDLifecycle/test_dynamic_profile_crud_lifecycle.py	ab92ac035195	ab92ac035195	N
tests/application/AT_ProfileCRUD/test_profile_crud.py	de96aa81b09b	de96aa81b09b	N
tests/application/AT1.5_ApplicationMultifileTransactionWorkflow/test_application_multifile_transaction_workflow.py	87e04fa4da95	87e04fa4da95	N
tests/application/AT1.10_ApplicationA2AAuthWorkflow/test_application_a2a_auth_workflow.py	8cf0be91b2cc	8cf0be91b2cc	N
tests/application/AT_WEBUI_EndToEnd/test_webui_end_to_end.py	15ff976485ee	b7f1380f7e17	Y
tests/application/AT_PROFILE_LIFECYCLE/test_profile_lifecycle.py	b40a220cb10e	08033e74990d	Y
tests/application/AT1.3_ApplicationConversionStructuredWorkflow/test_application_conversion_structured_workflow.py	f1fd097fb0bc	f1fd097fb0bc	N
tests/system/ST1.17_SystemDatabaseMigration/test_database_migration.py	145050a7986f	145050a7986f	N
tests/system/ST1.17_SystemDatabaseMigration/test_database_migration_multibackend.py	7be82de3a10e	7be82de3a10e	N
tests/system/ST1.16_SystemValidateFileTool/test_system_validate_file_tool.py	4c926b285169	4c926b285169	N
tests/system/ST1.3_SystemConversionMatrix/test_system_conversion_matrix.py	60cd00ece6aa	60cd00ece6aa	N
tests/system/ST1.8_SystemErrorContract/test_system_error_contract.py	254054bf69f0	254054bf69f0	N
tests/system/ST1.11_SystemReadPartialRanges/test_system_read_partial_ranges.py	dd5a6c53a427	dd5a6c53a427	N
tests/system/ST1.7_SystemEndpointRestartThreshold/test_system_endpoint_restart_threshold.py	c563fe63ca61	d6fb2a94da35	Y
tests/system/ST1.15_SystemStructuredRollbackContract/test_system_structured_rollback_contract.py	7f9f7cf2f10e	7f9f7cf2f10e	N
tests/system/ST1.13_SystemSnapshotRetention/test_system_snapshot_retention.py	6fb4fec0ce88	6fb4fec0ce88	N
tests/system/ST1.5_SystemConversionRealBackends/test_system_conversion_real_backends.py	5fc56ff0411e	5fc56ff0411e	N
tests/system/ST1.9_SystemLimits/test_system_limits.py	1e843b6172c1	1e843b6172c1	N
tests/system/ST1.10_SystemLimitsTimeout/test_system_limits_timeout.py	ebf389173b86	ebf389173b86	N
tests/system/ST_IntegrityVerifier/test_integrity_running.py	c8235582be72	c8235582be72	N
tests/system/ST1.6_SystemDryRunContract/test_system_dry_run_contract.py	7693f9434c22	7693f9434c22	N
tests/system/ST1.12_SystemSedTransactionContract/test_system_sed_transaction_contract.py	1bd22048a025	1bd22048a025	N
tests/system/ST1.4_SystemConversionOptionality/test_system_conversion_optionality.py	af193e7a0163	af193e7a0163	N
tests/system/ST_LogRotation/test_rotation_config.py	5a0730eea8c0	5a0730eea8c0	N
tests/system/ST1.1_SystemAuditIntegrity/test_system_audit_integrity.py	1bd5cdb686b4	1bd5cdb686b4	N
tests/system/ST1.14_SystemStructuredPathEdgeCases/test_system_structured_path_edge_cases.py	69fdf0da10d0	69fdf0da10d0	N
tests/system/ST1.2_SystemAuthHealth/test_system_auth_health.py	14bfa817f1d8	14bfa817f1d8	N
tests/quality/QT_LoggingCompliance/test_logging_compliance.py	a87446c01e1b	a87446c01e1b	N
tests/quality/QT_PACKAGE_COMPLIANCE/test_package_compliance.py	b1e144f606d3	b1e144f606d3	N
tests/quality/QT_COMPLIANCE/test_qt3_documentation_suite.py	1dd6175cf38b	1dd6175cf38b	N
tests/quality/QT_COMPLIANCE/test_qt26_secrets_separation.py	5c0c0f68624d	5c0c0f68624d	N
tests/quality/QT_COMPLIANCE/test_qt_package_adoption.py	725462b6f977	c47a4c6fcd55	Y
tests/quality/QT_COMPLIANCE/test_qt_migration_completeness.py	5f92d851955f	0be458e043dc	Y
tests/quality/QT_COMPLIANCE/test_qt27_bespoke_code_scan.py	2a33c9451d0d	2a33c9451d0d	N
tests/quality/QT_COMPLIANCE/test_qt_traceability.py	f26c0b84ff40	57fb2e0140c4	Y
tests/quality/QT_COMPLIANCE/test_qt_rules_compliance.py	638d92801baa	268543ac9477	Y
tests/quality/QT_COMPLIANCE/test_qt_vault_config_contract.py	e29c242a76ca	ffb9b1444d6a	Y
tests/quality/QT_COMPLIANCE/test_qt1_security_suite.py	64f69a3b6228	64f69a3b6228	N
